"","memory-1","memory-2","memory-3","plasmablasts-1","plasmablasts-2","plasmablasts-3","plasmacells-1","plasmacells-2","plasmacells-3","preplasmablasts-1","preplasmablasts-2","preplasmablasts-3"
"PRF1",28.0207656047896,13.6980675249341,1.8219821448646,36.0682868957371,3.54445257356222,28.1991436322019,32.6714402627691,3.93231426665934,1.17889724460187,89.547263012016,23.5499957319513,43.5982988732585
"PRG2",11.0592151258883,22.7368731757721,5.36700772162748,0,3.31243720774928,0,0,0,0,22.6637453789982,9.39224574846658,13.1227703098398
"PRH1",43.245493364349,21.0707847532076,69.3402408445371,17.9718273871311,16.7108447143372,10.0424219344268,17.7946913448252,15.5346849179317,14.5929408031105,12.5109897698824,17.7709225089441,19.1679173242496
"PRH2",3.285590003931,2.8258360098002,5.95229370764917,0,3.2521492874682,0,0,1.7553020427286,1.29434496265897,0.544663609583486,0,0
"PRICKLE1",270.31414465529,160.443318752726,604.517436697088,164.814582967753,308.707686042356,258.47235311131,332.989984266681,566.057873844457,168.725243973544,59.9918197171211,73.0745069326532,76.2500524644274
"PRICKLE2",22.0861273504983,13.2024839546965,10.3900566189687,129.323782607052,76.714395069327,196.535285561302,183.326342896114,98.3790951454633,131.249958915675,85.4870145028598,86.2733029980249,115.138772407121
"PRICKLE3",70.1420065132791,28.8837348172296,19.9886510010809,205.691119933648,232.08710927989,355.75674001244,293.836597600565,273.36455064122,296.390248868195,243.742945654254,224.312920166575,269.64389808949
"PRIM1",43.8297170766883,42.6855001538071,35.8456235192903,428.966958887707,513.332843317378,467.850080001682,308.996841125571,387.786886728582,342.505438597668,1662.92629716317,1661.63173570028,1285.08775668968
"PRIM2",106.241345274802,195.556360629597,122.291811274678,359.474170944887,486.077220977593,467.903761930595,251.545473141554,460.655354540069,247.706246627042,1368.96460332762,1238.53341425092,877.859488067649
"PRIMPOL",23.9553744831539,46.7785145796266,80.3050968796926,190.835420348569,198.756126731365,156.232335818235,232.604723332236,181.819465474463,250.251581345902,531.81465569874,457.669740398961,344.676024155421
"PRKAA1",2889.74569600299,3592.40729864923,2962.26714461331,1767.48389260793,1179.41984574601,1146.92996054634,1455.11807827893,1186.92661975826,1852.17077856505,1726.54148561481,1366.77430328324,1198.82564294543
"PRKAA2",0,1.42539476633965,3.02540122466766,0,0,1.12011623922848,0,0,2.14805999854607,5.68515931318899,3.75422754611231,1.84061296138953
"PRKAB1",1533.78983734922,1654.73034132143,1132.54857518826,754.08701990712,700.160648552499,805.425871937455,823.878141529661,651.980995618672,1339.99875649916,835.386351409496,677.837994740481,942.091090043436
"PRKAB2",991.830963482647,582.707094808487,351.191227161609,608.521318713589,449.017370431132,394.168624265529,524.787873950553,347.293904739061,660.983853518946,767.289968514314,417.953340115068,513.356717150808
"PRKACA",589.704404677162,278.203402334284,322.301714575485,938.569972281286,1422.32488759627,1736.31285844336,1269.62690197805,1598.10619661097,796.806690356357,1116.98698415128,1802.99272764027,1752.49161998461
"PRKACB",1215.25457961924,1425.51542148132,144.510974811878,3430.14802537889,3408.95441443712,1892.55248757687,3586.5390692411,4656.67102571834,2464.75303815719,2004.00729036868,2082.77496576258,1338.00709099029
"PRKAG1",452.515933450852,520.436071962921,681.9644067448,1502.71646464825,1725.39708679378,1671.28209272807,1201.74563710965,1400.12538282323,1038.62836394981,2060.07156820316,2269.47680489081,1828.39067248566
"PRKAG2",588.304923110669,670.247893905096,1038.41496866726,1209.96537133512,799.420050095289,873.406573492917,957.964276369331,897.133365309994,1162.62043877271,765.650329397652,707.016161824299,490.520690218832
"PRKAR1A",5903.42652434753,5389.57351576952,6740.88894802822,6924.46435601889,9866.18171373157,9662.30759846701,7757.16879721895,10379.9740182432,4058.95691910451,4650.39559573546,7629.73019128036,5600.74917425973
"PRKAR1B",25.0836002969132,24.7497271788311,56.3088874861991,211.713985762144,169.914547665603,306.173571621696,126.952803459565,188.336094246274,121.256708459953,342.703904021185,459.039594933884,669.077470467339
"PRKAR2A",3503.07244033779,2387.60416258261,2634.6718011516,1114.75390220829,1511.1963232908,1754.62875469621,1716.21962337824,1734.28480316134,887.003605131055,1329.30707424357,2200.58689584058,2308.2944036733
"PRKAR2B",40.7713315060938,26.3461499845433,140.19700920847,198.475532778063,105.411824220769,159.66609500414,152.08652917633,101.090120782907,42.8049189312922,179.652088517099,307.381304416179,239.136958560751
"PRKCA",155.175446600773,109.164524416385,100.078190895236,59.9173138222527,88.3690659246982,42.9724063521053,93.588829034611,155.081371010207,92.813631862388,44.5696489196354,66.1970939162161,45.29670665307
"PRKCB",2588.75425219365,2234.59511291315,2885.62640138327,749.583774403441,1017.24971211046,1067.0077846948,273.143879335987,396.552578849651,121.121425547374,1151.21706859959,1503.27830308152,1488.62232829354
"PRKCD",1458.42242658357,1408.55603714001,959.560075554024,2367.1017232,4210.81942825978,4266.99911021859,4637.97534644277,5535.38418504014,3223.24041219419,1462.64633076417,2174.7481189008,2724.0662154192
"PRKCE",4124.09057771739,4387.97995747793,4865.21545321733,117.949734764318,141.044372465365,205.924112605564,249.426417490229,219.731193494367,100.636513663448,125.661887620136,106.163378723131,79.9844268560716
"PRKCG",3.38385305692129,6.42997960842529,0.675750591236657,18.7967874463064,10.5258521760243,9.52842243653662,22.5755481440238,15.6179069565805,29.369469677332,0,0.886171085187571,0
"PRKCH",137.116417094444,61.605525091947,56.3380513934239,8.79282533514437,22.3342975019605,7.53100986398987,6.65535539959006,21.8596599614697,1.81891138507147,29.3413638266627,28.4736053372634,27.0836070061794
"PRKCI",288.165973483348,198.723484535902,318.358626055364,527.248050501298,864.104582761056,564.3794334512,881.330148144795,937.957624108452,792.658951631978,461.960206066333,887.251814570878,522.106316600904
"PRKCQ",17.622417950505,1.36974881294557,0.985179390071816,0,3.49099242775354,5.85130179785357,4.35926940873175,9.69112854296257,2.24686467028417,11.2537831991114,25.0071795316557,12.105036350505
"PRKCSH",9910.50887131494,6059.97743191629,8384.88200085985,4410.45691739507,8624.07479618587,9017.03355611223,6225.22424439599,7273.0949705988,2084.4940922294,3980.71859418749,7655.00142151596,6686.93679063461
"PRKCZ",282.572122230433,237.4337851265,363.669367223234,136.376185069583,103.24031549862,291.762209589893,228.874680319687,223.373545958664,250.397410691829,129.506116978039,209.753694718261,198.790285100749
"PRKD1",25.9957204995427,6.25066313753225,7.72104614231597,12.8955452868594,0,0,29.2154036001805,0,0,10.5355814775587,0,1.13460132942817
"PRKD2",5983.44685355867,2987.1643414677,4847.24404602347,3208.74785608657,4366.49314565339,6462.54774520036,5249.37720451548,5186.25837813845,4678.52203503358,2343.47301925298,3759.3967720714,4024.67234634951
"PRKD3",6661.2591726972,7374.23899998844,6754.03448558499,2538.82711182829,3495.51156442839,2123.27848099079,2258.79143845556,3885.66285289867,1880.59350897994,3333.22725997564,3153.64960763111,1902.59058927937
"PRKDC",6095.88393938828,5881.83578122369,5692.7932351875,2555.08018369749,3185.92418581553,5243.18349946751,4749.01766762563,4718.09526582485,2074.2587408227,8569.23300801042,9902.67399807911,15109.6673307736
"PRKG2",29.2029908114479,36.7328071792828,23.1189234187221,5.63031730626058,1.47377875380148,4.48079725635072,5.44918095999749,2.47099339643375,4.32116169610052,16.9155252747201,8.80697813994592,12.7816533109171
"PRKN",79.9898708443193,140.4775246818,88.4223938084673,20.1942625912967,18.2322938193925,13.7955367521583,32.8347734549696,15.1287275937329,35.6180501040817,12.3123410205232,4.02950680271463,10.3947550059781
"PRKRA",1856.89664602082,2712.36746282934,1371.17528716646,1500.56382803294,1148.40103260427,834.672363662468,1119.0773630112,1241.30051134835,1509.46822030751,1173.3097982047,916.516858745658,852.58304235937
